time,consumer,producer,voltage,frequency,temperature
93,116.55,120.0,221.24,50.0,34.68
94,118.36,118.68,217.72,50.02,34.98
95,118.06,122.8,222.08,49.96,35.97
96,112.8,120.93,219.85,50.06,33.67
97,121.76,122.95,221.34,50.05,35.26
98,121.83,116.02,217.86,50.03,34.04
99,120.87,129.04,216.89,49.99,34.46
100,120.06,128.11,221.64,50.03,34.62
101,114.62,132.04,220.75,49.96,33.0
102,120.12,117.77,218.2,50.04,33.68
103,121.11,138.98,218.26,50.08,35.76
104,119.48,131.31,222.25,50.05,35.25
105,123.43,137.5,217.62,49.96,34.25
106,127.05,130.07,223.29,50.02,34.51
107,135.33,137.8,218.2,49.94,33.92
108,127.69,132.21,221.28,50.03,35.51
109,129.09,134.95,219.34,50.02,33.9
110,128.46,146.07,221.21,49.91,34.27
111,120.33,138.56,218.91,49.94,35.13
112,130.93,141.04,219.67,49.99,33.14
113,132.55,144.44,220.08,49.98,35.42
114,145.8,143.67,218.0,49.94,32.26
115,133.79,142.95,221.48,50.02,35.36
116,137.57,144.39,218.97,50.01,33.29
117,137.23,153.06,219.54,49.99,33.35
118,132.94,143.66,218.01,49.96,31.63
119,145.9,145.07,214.88,50.05,33.0
120,145.38,148.77,219.62,50.08,32.34
121,147.02,149.21,224.83,49.98,32.7
122,139.99,149.68,221.57,49.97,33.09
123,153.03,147.55,219.96,50.02,34.11
124,140.5,140.41,219.47,49.98,33.28
125,151.94,151.43,220.04,49.99,33.3
126,161.46,140.15,221.09,50.04,31.82
127,147.05,145.7,217.64,49.9,31.95
128,150.66,141.16,222.23,50.07,34.55
129,155.48,143.53,221.43,50.0,31.93
130,153.94,144.64,221.44,49.98,34.23
131,150.16,144.07,220.88,50.0,32.25
132,159.69,143.87,220.04,50.0,32.41
133,155.45,147.96,221.35,49.91,33.39
134,164.51,142.58,221.18,50.07,33.5
135,158.9,138.99,219.29,50.0,32.03
136,172.57,142.95,218.85,50.02,31.66
137,162.19,142.93,220.2,50.05,31.9
138,165.74,132.28,223.1,49.95,32.2
139,172.62,138.54,217.52,50.02,32.66
140,163.56,137.87,217.06,49.99,31.68
141,171.95,132.75,220.33,50.04,32.2
142,178.4,138.27,220.1,49.89,33.12
143,164.83,130.95,220.35,50.0,31.77
144,174.73,130.81,220.49,49.97,31.6
145,175.99,128.33,219.55,50.02,29.68
146,179.42,127.78,222.98,50.02,28.47
147,170.09,122.0,216.8,49.96,31.39
148,170.36,119.27,218.34,49.96,30.81
149,180.19,130.04,219.79,49.99,30.29
150,179.62,118.9,216.71,49.96,30.95
151,179.88,116.93,219.65,50.04,30.55
152,180.77,110.89,223.32,49.98,31.63
153,175.98,115.57,220.04,49.85,30.49
154,180.81,111.45,220.46,49.98,29.56
155,181.3,121.94,217.48,49.95,31.2
156,176.38,118.05,218.77,49.92,29.89
157,189.33,109.92,219.25,49.94,30.53
158,182.34,120.37,219.36,50.01,29.43
159,173.91,113.99,222.56,50.07,29.16
160,182.96,107.51,221.12,50.02,29.79
161,174.55,97.59,217.78,49.97,29.62
162,183.03,115.56,220.49,50.02,29.99
163,184.49,99.7,221.0,49.98,29.14
164,174.12,97.58,222.28,49.97,27.47
165,182.5,107.2,223.16,49.94,28.78
166,179.13,111.87,217.97,49.91,29.91
167,180.49,106.71,218.38,49.98,28.72
168,185.12,102.54,217.48,50.01,28.67
169,173.6,101.84,219.53,50.0,29.81
170,170.19,102.12,220.93,49.98,28.01
171,168.57,101.04,221.97,49.95,27.08
172,167.95,98.51,219.85,50.03,28.37
173,170.6,97.24,219.36,49.93,27.95
174,171.59,96.09,220.3,50.04,27.37
175,170.13,92.91,218.33,49.95,28.07
176,171.68,94.47,224.18,49.96,28.64
177,166.37,88.56,216.78,49.93,28.05
178,172.3,94.75,220.37,49.97,28.28
179,162.39,91.08,224.05,50.05,29.69
180,175.96,90.59,220.01,50.03,27.44
181,164.11,95.76,219.62,50.05,27.98
182,155.29,100.73,219.29,50.03,27.1
183,152.79,99.04,219.64,49.94,26.68
184,159.1,89.36,222.75,49.98,26.85
185,154.1,92.03,215.58,49.96,26.87
186,157.3,100.18,223.07,50.07,27.63
187,154.61,92.98,217.15,49.94,29.53
188,150.38,96.58,219.47,50.04,26.39
189,145.01,100.31,219.14,50.04,26.6
190,140.17,94.94,221.18,50.09,26.88
191,144.02,100.01,216.8,49.98,27.26
192,149.05,95.09,220.92,50.04,27.05
193,144.37,98.91,224.05,50.11,27.99
194,135.62,103.55,217.27,49.97,24.21
195,141.28,96.9,220.38,49.92,24.17
196,140.93,106.09,218.68,49.91,25.99
197,133.21,105.36,220.85,50.04,27.52
198,137.04,108.8,220.04,49.91,24.78
199,135.25,108.67,218.72,49.98,23.27
200,127.96,114.46,220.98,50.02,26.79
201,134.23,110.77,223.61,50.01,26.4
202,134.05,109.85,219.62,50.02,25.0
203,135.52,113.37,221.44,50.01,25.04
204,134.27,116.4,217.41,50.06,25.0
205,121.07,115.78,218.09,49.95,26.02
206,122.28,117.12,220.94,49.97,25.23
207,128.61,115.53,222.97,49.96,26.29
208,127.73,117.08,220.71,50.04,22.89
209,126.93,115.51,219.37,50.05,24.84
210,142.87,129.5,220.0,50.02,24.52
211,125.78,118.91,217.5,50.06,25.34
212,127.99,122.47,221.21,49.94,25.01
213,126.54,123.72,221.76,50.08,26.3
214,124.56,131.5,219.1,50.08,23.6
215,119.32,128.05,219.06,50.04,25.46
216,124.37,135.5,220.53,50.09,25.94
217,116.45,129.05,219.13,49.92,27.2
218,118.95,134.07,219.87,49.97,24.83
219,117.6,130.78,224.2,49.96,25.6
220,120.41,143.83,219.51,50.04,23.44
221,131.62,131.57,219.28,49.95,22.82
222,110.83,138.59,218.7,50.04,26.03
223,123.79,140.86,221.49,50.07,25.15
224,112.56,140.89,219.64,50.03,26.31
225,118.61,139.35,218.7,50.01,23.74
226,126.82,140.37,222.64,49.95,25.61
227,122.19,141.8,222.84,49.96,26.94
228,117.03,141.7,218.8,50.06,25.48
229,119.47,146.73,216.27,50.04,25.32
230,127.13,152.24,222.02,50.0,25.04
231,120.84,141.62,218.63,49.98,23.45
232,126.4,138.75,221.58,49.9,26.37
233,126.43,144.18,216.06,49.95,24.4
234,123.88,155.08,221.79,50.1,25.51
235,138.86,141.7,217.58,49.94,23.44
236,132.36,151.55,221.46,50.01,23.82
237,120.17,151.7,220.03,50.05,26.44
238,132.39,142.7,218.09,49.94,24.66
239,129.35,147.03,219.19,50.01,26.46
240,138.16,151.03,221.37,50.05,24.94
241,131.23,142.7,220.21,50.0,23.19
242,135.94,143.01,221.17,50.14,25.93
243,140.39,141.05,223.95,49.92,24.46
244,143.58,138.78,216.87,50.05,25.77
245,134.66,139.65,223.23,49.99,25.11
246,140.43,136.68,220.21,50.04,23.56
247,141.18,140.98,218.2,50.02,25.29
248,141.77,136.96,217.34,49.96,27.35
249,155.34,140.12,219.62,50.01,25.67
250,150.04,132.04,221.84,49.91,25.15
251,143.2,138.61,219.74,50.03,26.31
252,155.6,139.59,223.02,50.01,25.48
253,163.12,127.2,217.1,50.03,25.51
254,159.16,135.55,219.98,50.05,24.24
255,147.88,137.79,217.5,50.02,25.6
256,154.52,126.83,220.73,50.01,26.45
257,164.73,137.12,221.77,49.96,24.61
258,156.29,130.82,219.16,49.96,26.92
259,163.45,125.02,214.79,50.06,25.45
260,166.48,126.29,220.4,50.07,24.69
261,159.32,127.39,220.87,49.99,26.63
262,164.96,124.1,220.81,50.0,25.39
263,150.33,124.57,222.47,49.95,26.49
264,162.64,117.35,217.86,50.06,25.49
265,167.69,120.32,221.36,50.03,25.78
266,163.85,112.6,222.39,50.1,26.39
267,179.34,116.43,216.44,49.96,26.24
268,165.06,111.89,220.64,49.98,24.02
269,170.99,111.2,218.99,50.01,24.95
270,174.77,117.75,219.84,50.03,27.07
271,182.18,115.85,220.7,49.99,26.07
272,168.6,112.63,219.03,49.96,25.74
273,182.33,104.56,218.65,50.04,24.97
274,177.23,106.44,220.07,50.04,25.32
275,172.87,111.37,217.83,49.95,24.45
276,180.62,105.93,217.83,50.07,26.44
277,179.77,113.54,221.36,50.06,26.02
278,176.16,104.78,217.7,50.01,25.72
279,179.83,102.97,221.33,50.0,26.7
280,177.79,100.02,220.93,50.03,27.21
281,180.45,100.9,216.55,49.96,29.02
282,183.29,98.93,218.64,50.0,25.49
283,187.93,101.61,222.39,49.89,28.24
284,173.75,101.9,218.04,50.04,28.14
285,190.47,94.3,219.07,49.92,26.47
286,169.84,91.55,220.92,50.08,27.53
287,178.56,89.04,221.57,49.98,26.96
288,181.91,98.0,219.5,49.99,27.69
289,179.95,91.21,218.8,49.97,29.1
290,174.93,86.74,222.84,49.99,28.28
291,176.44,96.71,223.48,50.07,28.27
292,174.38,105.01,221.96,49.88,27.43
293,173.19,94.98,220.17,50.06,26.46
294,179.62,98.39,218.38,50.02,27.83
295,176.33,95.48,218.34,49.94,29.34
296,170.18,94.95,221.05,49.95,26.7
297,177.19,99.29,220.84,50.08,27.26
298,173.22,94.79,222.8,49.95,28.54
299,174.69,97.44,221.3,49.94,27.52
300,172.66,98.14,216.99,50.06,27.81
301,164.2,94.75,222.1,50.02,28.28
302,164.34,102.02,218.0,49.95,27.43
303,169.62,98.05,219.23,50.01,27.92
304,167.64,96.49,220.5,49.95,29.69
305,163.16,102.48,223.99,50.06,27.78
306,162.49,97.63,226.22,50.05,27.59
307,166.9,102.28,221.21,50.03,28.66
308,156.14,103.14,219.63,50.02,30.12
309,160.39,108.57,221.07,50.09,29.29
310,155.18,107.22,221.78,50.0,29.12
311,153.63,106.37,219.36,49.94,29.73
312,158.73,110.93,223.59,50.02,28.04
313,155.87,114.45,220.46,50.1,30.38
314,154.31,112.38,221.0,49.95,30.37
315,155.27,111.48,221.33,49.98,29.67
316,147.35,107.51,220.84,50.02,31.19
317,149.16,109.83,221.68,50.0,29.16
318,142.72,114.23,218.77,49.95,31.51
319,144.43,114.39,218.88,50.06,30.64
320,140.71,117.46,217.8,50.12,30.25
321,140.42,119.82,220.88,50.01,30.66
322,141.51,123.1,221.56,49.95,30.67
323,133.08,122.09,220.92,49.92,32.1
324,146.29,125.69,223.35,50.01,29.9
325,129.49,125.37,219.99,50.06,30.31
326,127.19,118.56,221.34,50.02,32.21
327,137.83,124.04,217.82,50.0,30.67
328,134.82,128.53,219.23,49.97,32.27
329,132.85,125.54,221.39,49.95,33.16
330,131.79,134.03,221.7,50.04,31.16
331,127.56,138.96,219.41,50.05,32.33
332,122.16,138.89,219.86,49.92,30.59
333,126.12,134.28,216.96,50.08,32.59
334,121.5,142.18,219.29,50.03,32.13
335,128.97,137.85,221.78,50.07,32.5
336,122.64,136.88,221.15,49.93,31.47
337,118.59,136.7,221.0,49.93,30.54
338,120.52,138.8,220.1,49.99,32.8
339,123.67,139.26,220.01,50.03,30.32
340,118.34,142.23,218.68,50.09,32.15
341,116.67,142.86,221.4,50.04,33.5
342,121.7,142.84,220.84,49.99,32.83
343,121.47,145.1,220.98,49.95,34.68
344,117.56,148.58,218.95,50.06,33.84
345,117.66,148.0,215.69,49.95,32.24
346,121.17,138.57,222.19,50.08,33.0
347,112.84,134.53,219.04,49.99,33.01
348,113.18,148.64,218.27,50.08,31.55
349,116.85,139.52,221.39,50.03,32.27
350,119.66,144.09,219.22,49.99,32.72
351,122.65,140.24,222.12,49.97,31.32
352,128.91,137.56,221.23,49.98,33.48
353,126.33,146.71,221.37,50.02,33.26
354,121.82,147.28,217.27,50.0,31.9
355,123.17,141.56,222.42,49.97,34.05
356,118.97,133.06,220.52,49.99,34.43
357,124.67,140.71,219.26,50.0,34.01
358,124.16,143.87,220.29,49.89,33.52
359,128.12,135.73,216.45,50.02,34.5
360,123.33,141.65,220.82,49.95,34.65
361,131.09,140.06,217.94,49.94,34.34
362,137.22,141.59,217.29,49.92,33.26
363,130.14,138.83,216.96,49.91,34.42
364,133.86,133.49,222.23,49.93,35.39
365,136.52,141.15,218.74,49.96,33.66
366,132.32,134.65,223.07,50.1,36.4
367,136.75,134.05,218.93,49.97,33.83
368,137.03,129.26,216.59,50.01,34.43
369,138.82,130.02,217.77,50.02,33.78
370,135.86,127.01,222.47,50.01,34.72
371,141.27,128.58,219.69,50.0,32.79
372,145.08,134.82,218.9,49.94,34.03
373,151.31,121.15,220.32,50.07,33.52
374,150.33,118.84,221.0,50.09,34.79
375,157.78,129.81,222.23,49.92,35.68
376,144.68,121.71,222.9,49.95,35.37
377,154.37,118.49,219.28,49.99,32.38
378,152.43,123.94,217.35,49.95,36.83
379,163.96,115.97,219.17,50.03,35.11
380,150.45,124.31,220.52,49.96,34.06
381,151.77,118.35,218.07,50.11,35.02
382,154.44,112.32,218.09,50.06,35.06
383,148.26,121.56,220.69,50.01,34.24
384,157.67,109.19,219.9,50.05,35.12
385,157.9,113.28,220.07,50.06,34.33
386,163.81,110.25,218.48,49.97,34.55
387,166.1,113.03,219.54,49.96,34.28
388,175.07,112.87,218.15,50.0,33.55
389,171.7,105.6,221.78,50.04,35.13
390,165.28,101.35,222.07,50.01,35.58
391,164.84,105.15,216.31,49.92,35.51
392,172.92,99.59,218.14,49.96,35.82
393,164.93,109.4,217.01,50.0,35.32
394,181.7,101.0,218.7,50.0,34.47
395,179.41,98.16,219.83,50.1,35.83
396,172.06,99.58,217.1,49.93,33.63
397,166.69,92.75,218.16,50.03,34.08
398,182.8,93.61,217.99,50.07,34.01
399,176.17,101.73,220.41,50.11,36.04
400,183.58,93.8,220.14,49.98,35.89
401,169.99,91.81,218.56,50.02,35.42
402,175.48,97.8,220.35,50.03,35.99
403,178.94,100.12,218.91,50.01,34.01
404,179.51,98.05,219.46,50.0,35.22
405,177.32,99.03,223.35,50.02,34.72
406,182.9,91.97,222.68,49.87,35.67
407,174.59,89.34,217.4,50.03,34.68
408,179.28,101.14,221.66,50.01,34.38
409,180.59,94.03,221.62,49.99,35.28
410,182.48,94.58,217.7,50.1,35.58
411,183.31,101.23,221.64,49.97,34.0
412,173.89,98.55,223.08,49.98,34.57
413,171.54,98.63,217.75,50.1,33.54
414,185.22,106.02,218.16,49.96,32.06
415,180.05,95.41,222.04,49.97,34.71
416,174.12,102.39,220.54,49.99,35.08
417,185.03,99.66,221.1,50.04,34.68
418,177.19,101.33,220.68,50.01,32.42
419,181.79,107.25,220.78,49.94,33.97
420,175.44,104.11,217.35,49.97,32.05
421,184.55,105.22,222.09,49.97,35.59
422,182.11,108.41,222.34,50.0,33.08
423,171.12,103.76,219.54,50.02,35.37
424,176.19,103.0,219.91,50.02,35.0
425,173.48,103.36,216.94,49.91,33.09
426,175.97,100.9,221.03,50.05,32.8
427,163.12,118.25,221.14,50.01,34.22
428,170.15,106.9,219.88,50.07,32.96
429,170.75,111.74,222.25,50.02,33.84
430,155.36,112.86,219.33,50.06,33.19
431,156.89,116.55,221.13,50.02,31.82
432,151.24,119.95,217.96,50.07,31.3
433,158.69,121.51,219.95,50.03,33.69
434,162.2,117.13,219.65,50.0,32.83
435,164.68,120.18,220.45,50.11,32.76
436,156.07,123.36,219.26,50.04,33.94
437,162.36,122.62,219.74,50.03,34.34
438,145.83,131.41,221.65,49.94,32.81
439,142.72,128.3,219.13,49.94,32.66
440,149.46,130.61,216.79,50.01,33.42
441,150.16,131.63,223.5,50.01,31.49
442,146.58,134.95,222.76,49.97,32.98
443,134.92,132.23,217.42,50.01,33.23
444,143.33,127.54,221.38,50.08,33.27
445,135.8,135.5,218.99,50.03,30.57
446,144.23,132.43,220.53,49.94,31.66
447,141.3,134.0,220.59,49.99,31.45
448,133.37,139.5,219.53,49.96,32.34
449,134.14,143.09,218.43,49.98,32.63
450,130.09,139.15,218.62,49.98,33.56
451,133.78,141.17,218.17,49.98,31.47
452,137.62,147.55,218.34,49.94,31.38
453,126.71,142.45,219.87,49.99,32.93
454,132.99,152.57,218.57,49.97,31.99
455,126.71,145.03,221.36,49.85,32.86
456,124.33,136.26,222.97,50.1,31.79
457,126.75,146.79,218.84,50.05,30.25
458,121.16,145.69,220.48,49.98,29.98
459,122.68,149.64,221.0,50.0,29.66
460,118.62,147.42,220.94,49.94,31.78
461,133.67,144.34,220.15,50.08,32.21
462,123.32,140.09,221.49,50.09,32.77
463,119.01,144.16,220.96,50.01,31.66
464,123.01,141.53,217.52,50.05,31.88
465,120.89,142.47,221.74,50.01,30.04
466,119.92,146.93,221.77,49.93,29.37
467,123.74,150.96,218.47,49.98,31.27
468,124.18,145.49,220.08,50.01,30.74
469,117.54,138.68,221.37,49.98,30.33
470,117.18,144.73,219.58,49.99,30.51
471,118.63,147.15,222.15,50.0,30.35
472,108.51,139.27,224.73,50.0,31.21
473,112.54,140.45,218.43,50.0,31.12
474,127.12,140.26,217.24,49.95,30.27
475,128.75,136.22,220.61,49.96,30.47
476,119.6,141.04,221.44,49.94,30.04
477,124.12,137.0,219.54,50.05,28.96
478,123.25,138.14,222.91,49.89,30.08
479,137.63,131.84,217.32,50.06,27.83
480,128.43,132.52,221.39,50.07,30.18
481,122.86,136.0,218.79,49.98,27.84
482,119.46,130.42,223.44,49.87,29.22
483,117.01,137.58,223.99,49.98,27.99
484,126.92,127.8,218.47,50.0,29.29
485,123.04,129.0,218.9,49.95,28.61
486,120.7,130.5,221.72,49.97,26.95
487,125.61,119.75,219.23,50.08,28.87
488,124.52,117.02,219.91,50.03,27.78
489,139.51,116.58,220.05,49.95,29.14
490,136.67,126.35,216.16,49.92,28.17
491,133.45,117.71,219.97,49.98,28.47
492,142.16,128.76,218.62,49.99,27.03
493,136.46,114.89,219.01,50.02,27.3
494,133.11,116.51,222.89,49.97,27.34
495,146.41,120.57,217.49,50.03,28.57
496,142.9,121.09,221.63,50.1,29.3
497,136.44,119.98,219.44,50.04,26.73
498,142.13,115.27,219.44,50.0,28.53
499,140.17,113.27,221.58,49.99,25.19
500,139.12,110.31,220.68,49.98,26.09
501,152.15,109.85,221.14,50.06,26.24
502,158.57,103.38,221.94,49.97,25.76
503,143.52,101.2,219.34,50.0,25.45
504,154.83,103.4,218.78,50.0,27.37
505,150.26,101.72,217.83,49.97,26.66
506,152.56,99.62,218.35,49.93,27.18
507,153.5,103.32,225.9,50.02,27.41
508,153.6,103.52,222.49,50.0,26.91
509,159.6,99.27,217.3,50.03,27.23
510,156.62,104.11,217.36,49.97,26.43
511,163.51,92.99,220.96,50.06,25.24
512,163.26,96.21,221.09,49.96,27.42
513,163.64,93.61,221.1,50.09,25.7
514,161.58,88.57,219.49,49.91,25.29
515,164.48,95.35,219.75,50.02,25.98
516,172.34,94.91,220.66,50.02,25.19
517,172.22,101.24,220.17,49.96,25.62
518,165.94,97.58,215.56,50.02,26.32
519,172.37,90.9,219.54,50.06,26.27
520,176.63,102.44,218.3,49.89,24.96
521,165.47,100.01,220.35,50.03,25.32
522,177.42,97.63,225.97,49.88,26.83
523,172.21,94.65,220.73,49.95,26.2
524,179.13,92.04,219.37,50.08,27.73
525,173.15,94.79,221.84,49.97,26.78
526,168.57,101.11,220.97,49.94,26.7
527,170.01,104.84,220.84,49.99,24.12
528,178.87,104.09,221.21,50.1,26.23
529,180.34,96.65,224.11,49.91,25.37
530,174.86,94.88,217.74,49.95,24.84
531,182.84,100.74,220.95,50.07,25.52
532,171.53,93.97,218.15,50.09,26.26
533,179.63,103.28,221.11,49.99,25.78
534,173.94,102.38,218.16,49.94,24.37
535,176.71,102.15,219.17,50.1,25.96
536,180.1,98.73,219.41,50.08,24.55
537,175.38,108.3,221.95,50.03,25.38
538,177.5,105.29,221.84,49.96,24.83
539,184.12,103.97,217.51,50.0,24.9
540,175.81,98.41,220.11,49.99,25.86
541,182.4,111.07,218.58,50.02,24.04
542,172.02,119.59,217.48,50.07,27.01
543,179.71,120.48,219.57,50.04,23.22
544,183.59,113.36,219.38,49.95,24.44
545,163.27,114.15,224.85,50.07,25.39
546,170.84,119.81,220.87,50.02,25.6
547,176.83,115.33,217.24,50.03,24.91
548,172.0,121.92,218.87,50.07,24.95
549,173.88,125.16,222.04,49.94,25.41
550,167.96,128.39,224.18,50.0,24.77
551,170.31,124.45,216.83,49.97,26.39
552,167.95,125.39,216.24,49.92,25.84
553,173.38,124.03,223.74,50.02,25.88
554,167.57,125.54,220.78,50.13,24.05
555,166.71,129.23,218.26,49.91,24.95
556,161.64,132.86,221.07,50.0,24.74
557,159.91,136.26,214.73,50.03,24.05
558,158.81,130.57,220.01,50.01,25.43
559,161.53,140.89,220.66,49.99,24.55
560,156.02,134.93,221.85,49.94,25.76
561,158.12,136.97,217.97,50.01,24.06
562,165.58,135.05,220.17,49.96,26.87
563,158.08,129.28,218.15,49.89,24.28
564,150.6,143.39,220.51,50.06,25.42
565,156.74,143.61,218.21,50.05,26.02
566,147.19,140.29,219.18,50.0,24.69
567,137.54,142.36,218.01,50.01,26.15
568,141.2,144.78,221.3,50.05,24.1
569,135.4,137.01,221.72,50.01,26.82
570,141.53,141.61,219.53,50.05,25.42
571,141.93,147.31,220.08,49.99,24.85
572,148.78,139.44,217.1,50.07,25.19
573,140.63,145.88,219.4,50.02,26.34
574,136.52,139.45,219.9,50.01,24.99
575,140.41,146.84,225.24,49.94,24.87
576,123.89,144.86,217.78,50.01,25.45
577,134.85,138.48,222.93,49.96,24.55
578,136.29,149.47,221.99,49.97,27.6
579,123.84,141.66,220.56,49.96,25.26
580,135.81,141.07,223.52,49.95,26.72
581,130.69,144.75,220.74,50.11,26.15
582,125.87,148.11,220.78,50.07,25.02
583,130.12,138.94,219.89,50.1,26.06
584,137.38,142.67,222.45,49.94,26.91
585,126.07,143.49,222.19,50.0,26.0
586,125.59,143.84,218.75,49.94,27.45
587,121.31,140.99,217.36,49.97,27.34
588,118.67,137.97,219.59,49.95,27.31
589,126.46,135.23,218.4,50.06,26.0
590,117.49,137.92,219.87,49.98,25.45
591,121.65,132.27,222.47,50.05,25.99
592,118.51,123.81,219.09,50.03,26.88
593,122.96,136.13,219.91,50.12,27.3
594,121.98,136.84,220.12,49.93,24.66
595,125.32,122.58,221.7,50.06,26.9
596,117.48,126.75,215.51,50.06,27.15
597,118.65,132.0,218.79,49.95,26.79
598,115.15,136.46,220.42,50.05,28.44
599,117.94,126.99,222.4,50.02,27.66
600,122.25,122.65,219.02,49.99,28.63
601,124.41,123.46,216.25,49.96,27.19
602,116.36,128.32,221.24,49.96,28.43
603,125.73,118.85,218.73,50.1,29.21
604,128.65,116.85,217.62,50.0,28.97
605,124.49,116.73,218.75,50.04,26.66
606,132.43,113.46,219.63,49.96,27.59
607,119.87,116.39,218.79,49.96,27.59
608,118.28,121.04,215.59,50.05,28.51
609,116.43,114.48,221.79,49.93,28.8
610,133.69,110.86,222.55,49.98,27.37
611,130.42,109.4,221.3,50.0,28.37
612,127.87,103.04,217.72,50.01,26.38
613,130.6,111.59,219.6,49.99,29.93
614,124.68,106.54,219.99,50.02,28.08
615,143.7,104.97,221.2,50.03,28.74
616,133.31,117.35,221.34,50.04,28.47
617,134.46,104.71,218.53,49.95,30.02
618,138.83,99.49,220.16,49.99,26.14
619,138.93,99.82,220.91,50.06,29.06
620,139.0,105.22,222.91,50.04,29.07
621,135.31,100.23,221.41,49.93,28.82
622,143.04,93.24,221.58,50.02,31.1
623,151.53,101.95,220.17,49.9,28.58
624,150.3,94.94,222.82,50.0,30.34
625,153.01,104.53,220.82,50.09,30.02
626,143.97,100.84,218.28,49.95,31.03
627,143.08,94.29,222.81,49.96,29.2
628,148.89,100.84,221.4,50.04,29.24
629,151.3,95.69,219.11,49.92,31.16
630,157.99,98.62,219.04,49.97,30.59
631,145.55,97.01,220.59,50.03,28.72
632,163.14,91.62,220.93,49.97,29.83
633,156.17,92.44,220.39,49.99,30.85
634,156.27,99.23,220.62,50.04,31.4
